epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,26,0.6850989460945129,,0.8574516177177429,
1,49,,0.84375,,0.3615391254425049
1,53,0.8183934688568115,,0.3969641923904419,
2,80,0.866123378276825,,0.3280359208583832,
3,99,,0.90625,,0.2531457543373108
3,107,0.8958090543746948,,0.2459874153137207,
4,134,0.8946449160575867,,0.22807736694812775,
5,149,,0.921875,,0.17680470645427704
5,161,0.9103608727455139,,0.23541054129600525,
6,188,0.9208381772041321,,0.19614697992801666,
7,199,,0.9375,,0.21341563761234283
7,215,0.9423748254776001,,0.1506344974040985,
8,242,0.9330617189407349,,0.16851092875003815,
9,249,,0.9375,,0.18274720013141632
9,269,0.9353899955749512,,0.16746623814105988,
10,296,0.9220023155212402,,0.19381067156791687,
11,299,,0.921875,,0.21359898149967194
11,323,0.9447031617164612,,0.13137467205524445,
12,349,,0.96875,,0.08204353600740433
12,350,0.9499418139457703,,0.12458062916994095,
13,377,0.955762505531311,,0.10457376390695572,
14,399,,1.0,,0.031569063663482666
14,404,0.9528521299362183,,0.11075789481401443,
15,431,0.955762505531311,,0.1034146398305893,
16,449,,0.84375,,0.30519887804985046
16,458,0.9458673000335693,,0.14042815566062927,
17,485,0.959837019443512,,0.10860004276037216,
18,499,,0.9375,,0.13574621081352234
18,512,0.9551804661750793,,0.12455295026302338,
19,539,0.9563446044921875,,0.10474766045808792,
